date,steps,distance,runDistance,calories
2019-04-22,8491,6164,463,221
2019-04-23,6705,4883,272,177
2019-04-24,6491,4723,503,174
2019-04-25,6284,4608,321,169
2019-04-26,5423,4043,159,148
2019-04-27,8308,6179,383,226
2019-04-28,7171,5195,379,188
2019-04-29,10319,7565,739,277
2019-04-30,6826,5054,215,190
2019-05-01,6927,5143,125,188
2019-05-02,4493,3316,232,126
2019-05-03,6737,4995,442,184
2019-05-04,6342,4554,395,166
2019-05-05,8286,6233,689,238
2019-05-06,7679,5667,550,217
2019-05-07,6916,5084,432,192
2019-05-08,6331,4640,403,179
2019-05-09,9351,6784,435,249
2019-05-10,8066,5834,664,217
2019-05-11,11294,8264,647,300
2019-05-12,6353,4592,425,164
2019-05-13,6115,4573,199,172
2019-05-14,7719,5673,513,217
2019-05-15,10758,7885,882,290
2019-05-16,12194,8858,861,315
2019-05-17,7403,5313,279,196
2019-05-18,8480,6485,427,254
2019-05-19,11742,8742,556,326
2019-05-20,7220,5362,496,208
2019-05-21,15752,11788,1202,433
2019-05-22,9760,7060,742,253
2019-05-23,7412,5351,407,197
2019-05-24,7285,5276,513,201
2019-05-25,7155,5237,561,196
2019-05-26,8724,6486,836,253
2019-05-27,9764,7175,754,269
2019-05-28,10133,7529,724,284
2019-05-29,6950,5152,521,197
2019-05-30,7318,5440,688,209
2019-05-31,5597,4110,305,152
2019-06-01,14739,10708,591,395
2019-06-02,8673,6269,256,227
2019-06-03,10396,7728,607,282
2019-06-04,8086,5947,657,229
2019-06-05,8502,6282,691,238
2019-06-06,5052,3824,237,145
2019-06-07,0,0,0,0
2019-06-08,0,0,0,0
2019-06-09,4884,3382,374,129
2019-06-10,2534,1693,209,61
2019-06-11,1301,866,181,40
2019-06-12,1555,1043,216,47
2019-06-13,1757,1169,184,49
2019-06-14,1337,889,193,39
2019-06-15,1779,1184,177,45
2019-06-16,897,597,101,27
2019-06-17,2413,1716,135,63
2019-06-18,2138,1455,131,52
2019-06-19,1075,715,166,29
2019-06-20,1051,699,91,28
2019-06-21,1806,1205,222,52
2019-06-22,919,616,164,31
2019-10-02,0,0,0,0
2019-10-06,6894,5186,237,193
2019-10-07,12843,9490,581,347
2019-10-08,8813,6683,277,258
2019-10-09,20,13,6,1
2019-10-11,5019,3696,163,136
2019-10-12,3609,2841,977,133
2019-10-13,0,0,0,0
2019-10-14,0,0,0,0
2019-10-15,0,0,0,0
2019-10-16,0,0,0,0
2019-10-19,15597,11498,646,425
2019-10-20,8433,6353,247,241
2019-10-21,13456,10095,2163,417
2019-10-22,3331,2448,34,92
2019-10-23,10372,7596,494,290
2019-10-24,7666,5674,1069,231
2019-10-25,11168,8555,634,325
2019-10-26,3605,2715,109,102
2019-10-27,7498,5570,309,205
2019-10-28,15768,11519,1043,415
2019-10-29,12278,8889,581,325
2019-10-30,9968,7488,473,294
2019-10-31,11508,8692,659,341
2019-11-01,9917,7438,356,286
2019-11-02,5065,3530,238,130
2019-11-03,5776,4280,298,164
2019-11-04,9468,6887,311,256
2019-11-05,8204,6139,987,250
2019-11-06,17202,12952,767,489
2019-11-07,7510,5650,450,218
2019-11-08,6054,4425,291,171
2019-11-09,7812,5566,350,202
2019-11-10,5338,3921,305,151
2019-11-11,12393,8964,939,328
2019-11-12,6143,4645,479,184
2019-11-13,17180,12948,1656,510
2019-11-14,9627,6938,833,257
2019-11-15,7368,5362,286,202
2019-11-16,18745,14162,1520,558
